2020-10-28 21:25:36.273166:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-28 21:33:54.342510: module_start - String modules imported!, Username: Undefined
2020-10-28 21:33:54.348562: module_start - Network modules imported!, Username: Undefined
2020-10-28 21:37:16.644254: execute_function - Function run: 13 Valid? True, Username: firehawk
2020-10-28 21:37:53.310837:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-28 21:37:53.310980: module_start - Logic modules imported!, Username: Undefined
2020-10-28 21:37:53.311049: module_start - System modules imported!, Username: Undefined
2020-10-28 21:37:53.311622: module_start - String modules imported!, Username: Undefined
2020-10-28 21:37:53.318168: module_start - Network modules imported!, Username: Undefined
2020-10-28 21:38:00.703902: login - User: mance Success?: N. Attempts left: 3, Username: Undefined
2020-10-28 21:38:21.298294: execute_function - Function run: 11 Valid? True, Username: firehawk
2020-10-28 21:41:30.592118:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-28 21:41:30.592262: module_start - Logic modules imported!, Username: Undefined
2020-10-28 21:41:30.592345: module_start - System modules imported!, Username: Undefined
2020-10-28 21:41:30.592863: module_start - String modules imported!, Username: Undefined
2020-10-28 21:41:30.603082: module_start - Network modules imported!, Username: Undefined
2020-10-28 21:43:01.723838: execute_function - Function run: 13 Valid? True, Username: firehawk
2020-10-28 21:43:45.669846:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-28 21:43:45.670018: module_start - Logic modules imported!, Username: Undefined
2020-10-28 21:43:45.670120: module_start - System modules imported!, Username: Undefined
2020-10-28 21:43:45.670793: module_start - String modules imported!, Username: Undefined
2020-10-28 21:43:45.677409: module_start - Network modules imported!, Username: Undefined
2020-10-28 21:44:12.567296: execute_function - Function run: 11 Valid? True, Username: firehawk
2020-10-28 21:44:42.912811: execute_function - Function run: 12 Valid? True, Username: firehawk
2020-10-28 21:44:42.913073:  - --== FiEncrypt Warming Up! ==--, Username: firehawk
2020-10-28 21:44:42.913174: module_start - Logic modules imported!, Username: firehawk
2020-10-28 21:44:42.913263: module_start - System modules imported!, Username: firehawk
2020-10-28 21:44:42.913350: module_start - String modules imported!, Username: firehawk
2020-10-28 21:44:42.913437: module_start - Network modules imported!, Username: firehawk
2020-10-28 21:59:09.179684: execute_function - Function run: 7 Valid? True, Username: mance
2020-10-28 21:59:09.180009: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:15.762407: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:15.762720: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 21:59:15.762780: newcode - Success?: Y. New Code: $92A76|2810_678621_$14fE03||8#. Files updated: 1, Username: mance
2020-10-28 21:59:21.099375: execute_function - Function run: 1 Valid? True, Username: mance
2020-10-28 21:59:21.099550: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:25.884253: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:26.597342: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-28 21:59:26.597512: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-28 21:59:26.597617: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:45.574385: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 21:59:51.200013: server_start - Server started on 192.168.0.17:15753, Username: mance
2020-10-28 22:00:07.351097: mess_in - Message recieved over LAN/WLAN! Downloaded: True, Username: mance
2020-10-28 22:01:59.541664: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.375548: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-28 22:02:00.375884: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-28 22:02:00.376106: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.970387: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.971016: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.971275: newcode - Success?: Y. New Code: $28A26|2810_54051174148937445568_$013fE614||60#. Files updated: 1, Username: mance
2020-10-28 22:02:00.971668: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.972029: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.972512: newcode - Success?: Y. New Code: $011A09|2810_927910155267871051042107_$1223fE1118||88#. Files updated: 1, Username: mance
2020-10-28 22:02:00.972904: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.973377: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.973564: newcode - Success?: Y. New Code: $23A21|2810_661021052668592052_$917fE09||10#. Files updated: 1, Username: mance
2020-10-28 22:02:00.973870: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.974176: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.974335: newcode - Success?: Y. New Code: $69A67|2810_44454006_$46fE05||74#. Files updated: 1, Username: mance
2020-10-28 22:02:00.974717: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.975028: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.975193: newcode - Success?: Y. New Code: $211A29|2810_5448116670_$07fE39||90#. Files updated: 1, Username: mance
2020-10-28 22:02:00.975429: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.975728: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.975878: newcode - Success?: Y. New Code: $48A46|2810_897285_$26fE14||62#. Files updated: 1, Username: mance
2020-10-28 22:02:00.976060: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.976287: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.976404: newcode - Success?: Y. New Code: $45A43|2810_14106704794103_$714fE611||32#. Files updated: 1, Username: mance
2020-10-28 22:02:00.976575: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:00.976798: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:00.976929: newcode - Success?: Y. New Code: $43A41|2810_7903894_$07fE14||12#. Files updated: 1, Username: mance
2020-10-28 22:02:00.977073: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:06.602245: server_start - Server started on 192.168.0.17:15753, Username: mance
2020-10-28 22:02:16.097940: mess_in - Message recieved over LAN/WLAN! Downloaded: True, Username: mance
2020-10-28 22:02:29.992233: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:30.796960: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-28 22:02:30.797897: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-28 22:02:30.798509: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.394751: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.395121: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.395229: newcode - Success?: Y. New Code: $201A28|2810_89526570416669085426_$815fE018||80#. Files updated: 1, Username: mance
2020-10-28 22:02:31.395478: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.395690: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.395799: newcode - Success?: Y. New Code: $67A65|2810_6610788910_$55fE27||54#. Files updated: 1, Username: mance
2020-10-28 22:02:31.396052: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.396308: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.396415: newcode - Success?: Y. New Code: $88A86|2810_89360296274601225452_$1019fE312||66#. Files updated: 1, Username: mance
2020-10-28 22:02:31.396571: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.396762: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.396864: newcode - Success?: Y. New Code: $87A85|2810_18183107_$16fE14||56#. Files updated: 1, Username: mance
2020-10-28 22:02:31.397091: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.397301: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.397406: newcode - Success?: Y. New Code: $28A26|2810_450496_$35fE23||60#. Files updated: 1, Username: mance
2020-10-28 22:02:31.397643: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.397839: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.397940: newcode - Success?: Y. New Code: $27A25|2810_10866552661021_$07fE010||50#. Files updated: 1, Username: mance
2020-10-28 22:02:31.398101: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.398295: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.398395: newcode - Success?: Y. New Code: $07A05|2810_21010418851704_$113fE513||48#. Files updated: 1, Username: mance
2020-10-28 22:02:31.398601: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.398800: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.398899: newcode - Success?: Y. New Code: $42A4|2810_7473371096100639915961_$113fE220||2#. Files updated: 1, Username: mance
2020-10-28 22:02:31.399088: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.399280: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.399375: newcode - Success?: Y. New Code: $29A27|2810_3946493079101089_$710fE515||70#. Files updated: 1, Username: mance
2020-10-28 22:02:31.399584: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.399784: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.399886: newcode - Success?: Y. New Code: $47A45|2810_95960089_$25fE16||52#. Files updated: 1, Username: mance
2020-10-28 22:02:31.400078: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.400269: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.400380: newcode - Success?: Y. New Code: $88A86|2810_101310104106084332_$113fE716||66#. Files updated: 1, Username: mance
2020-10-28 22:02:31.400537: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.400736: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.400870: newcode - Success?: Y. New Code: $05A03|2810_60947446109933982110_$116fE118||28#. Files updated: 1, Username: mance
2020-10-28 22:02:31.401074: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.401294: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.401402: newcode - Success?: Y. New Code: $48A46|2810_91072105_$05fE44||62#. Files updated: 1, Username: mance
2020-10-28 22:02:31.401568: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.401785: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.401893: newcode - Success?: Y. New Code: $09A07|2810_2399412610992510_$212fE110||68#. Files updated: 1, Username: mance
2020-10-28 22:02:31.402051: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.402244: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.402364: newcode - Success?: Y. New Code: $87A85|2810_46673238029366_$012fE712||56#. Files updated: 1, Username: mance
2020-10-28 22:02:31.402582: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.402814: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.402924: newcode - Success?: Y. New Code: $85A83|2810_949363_$14fE26||36#. Files updated: 1, Username: mance
2020-10-28 22:02:31.403091: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.403307: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.403416: newcode - Success?: Y. New Code: $24A22|2810_661042736787140320_$514fE111||20#. Files updated: 1, Username: mance
2020-10-28 22:02:31.403644: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.403845: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.403953: newcode - Success?: Y. New Code: $23A21|2810_28727241712560_$110fE210||10#. Files updated: 1, Username: mance
2020-10-28 22:02:31.404104: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.404296: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.404415: newcode - Success?: Y. New Code: $46A44|2810_6749660628_$39fE59||42#. Files updated: 1, Username: mance
2020-10-28 22:02:31.404570: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.404763: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.404856: newcode - Success?: Y. New Code: $63A61|2810_95068168_$25fE04||14#. Files updated: 1, Username: mance
2020-10-28 22:02:31.405045: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.405246: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.405343: newcode - Success?: Y. New Code: $26A24|2810_7563190700131010_$614fE712||40#. Files updated: 1, Username: mance
2020-10-28 22:02:31.405521: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.405730: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.405865: newcode - Success?: Y. New Code: $05A03|2810_9278148321_$35fE07||28#. Files updated: 1, Username: mance
2020-10-28 22:02:31.406091: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:31.406393: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-28 22:02:31.406538: newcode - Success?: Y. New Code: $29A27|2810_791002_$05fE24||70#. Files updated: 1, Username: mance
2020-10-28 22:02:31.406714: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:02:37.031239: server_start - Server started on 192.168.0.17:15753, Username: mance
2020-10-28 22:17:49.180946: mess_in - Message recieved over LAN/WLAN! Downloaded: True, Username: mance
2020-10-28 22:18:21.354203: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:18:22.701535: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-28 22:18:22.702419: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-28 22:18:22.702969: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-28 22:22:06.110097: execute_function - Function run: 13 Valid? True, Username: mance
2020-10-29 10:30:21.300282:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-29 10:30:21.300688: module_start - Logic modules imported!, Username: Undefined
2020-10-29 10:30:21.300773: module_start - System modules imported!, Username: Undefined
2020-10-29 10:30:21.301615: module_start - String modules imported!, Username: Undefined
2020-10-29 10:30:21.308070: module_start - Network modules imported!, Username: Undefined
2020-10-29 13:04:54.112020: execute_function - Function run: 7 Valid? True, Username: mance
2020-10-29 13:04:54.130430: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 13:04:59.806331: server_start - Server started on 10.233.91.177:15753, Username: mance
2020-10-29 16:06:33.158533: execute_function - Function run: 7 Valid? True, Username: mance
2020-10-29 16:06:33.159462: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 16:06:38.697465: server_start - Server started on 10.42.0.1:15753, Username: mance
2020-10-29 16:07:17.132407: mess_in - Message recieved over LAN/WLAN! Downloaded: True, Username: mance
2020-10-29 16:07:27.316936: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 16:07:27.699681: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-29 16:07:27.699990: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-29 16:07:27.700093: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 16:07:28.295293: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 16:07:28.296214: newfile - New File: <_io.TextIOWrapper name='./code.txt' mode='w+' encoding='UTF-8'> Type: Text File Access: Read & Write, Username: mance
2020-10-29 16:07:28.296395: newcode - Success?: Y. New Code: $88A97|2910_286683654210510349_$118fE720||72#. Files updated: 1, Username: mance
2020-10-29 16:07:28.296698: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 16:07:33.831557: server_start - Server started on 10.42.0.1:15753, Username: mance
2020-10-29 16:36:37.933305: execute_function - Function run: 13 Valid? True, Username: mance
2020-10-29 17:57:39.890456:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-29 17:57:39.890919: module_start - Logic modules imported!, Username: Undefined
2020-10-29 17:57:39.891007: module_start - System modules imported!, Username: Undefined
2020-10-29 17:57:39.891667: module_start - String modules imported!, Username: Undefined
2020-10-29 17:57:39.899725: module_start - Network modules imported!, Username: Undefined
2020-10-29 19:58:46.223381: execute_function - Function run: 12 Valid? True, Username: firehawk
2020-10-29 19:58:46.231494:  - --== FiEncrypt Warming Up! ==--, Username: firehawk
2020-10-29 19:58:46.232036: module_start - Logic modules imported!, Username: firehawk
2020-10-29 19:58:46.232461: module_start - System modules imported!, Username: firehawk
2020-10-29 19:58:46.232888: module_start - String modules imported!, Username: firehawk
2020-10-29 19:58:46.233444: module_start - Network modules imported!, Username: firehawk
2020-10-29 20:00:02.769001: execute_function - Function run: 10 Valid? True, Username: mance
2020-10-29 20:04:15.930687:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-29 20:04:15.930852: module_start - Logic modules imported!, Username: Undefined
2020-10-29 20:04:15.930954: module_start - System modules imported!, Username: Undefined
2020-10-29 20:04:15.931661: module_start - String modules imported!, Username: Undefined
2020-10-29 20:04:15.941281: module_start - Network modules imported!, Username: Undefined
2020-10-29 20:04:41.828044: execute_function - Function run: 10 Valid? True, Username: mance
2020-10-29 20:05:33.653033: execute_function - Function run: 1 Valid? True, Username: mance
2020-10-29 20:05:33.654430: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:05:40.927691: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:05:43.542143: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-29 20:05:43.543432: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-29 20:05:43.544441: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:05:48.676683: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:05:54.301830: server_start - Server started on 192.168.0.17:15753, Username: mance
2020-10-29 20:06:19.535222: mess_in - Message recieved over LAN/WLAN! Downloaded: True, Username: mance
2020-10-29 20:06:57.633879: execute_function - Function run: 1 Valid? True, Username: mance
2020-10-29 20:06:57.634321: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:07:02.061694: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:07:04.674784: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-29 20:07:04.674963: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-29 20:07:04.675075: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:07:20.856651: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:07:26.481715: server_start - Server started on 192.168.0.17:15753, Username: mance
2020-10-29 20:18:10.465425: execute_function - Function run: 13 Valid? True, Username: mance
2020-10-29 20:18:37.936199:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-29 20:18:37.936399: module_start - Logic modules imported!, Username: Undefined
2020-10-29 20:18:37.936523: module_start - System modules imported!, Username: Undefined
2020-10-29 20:18:37.937181: module_start - String modules imported!, Username: Undefined
2020-10-29 20:18:37.943599: module_start - Network modules imported!, Username: Undefined
2020-10-29 20:19:00.981975: execute_function - Function run: 1 Valid? True, Username: mance
2020-10-29 20:19:00.982863: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:19:42.083932:  - --== FiEncrypt Warming Up! ==--, Username: Undefined
2020-10-29 20:19:42.084115: module_start - Logic modules imported!, Username: Undefined
2020-10-29 20:19:42.084208: module_start - System modules imported!, Username: Undefined
2020-10-29 20:19:42.084769: module_start - String modules imported!, Username: Undefined
2020-10-29 20:19:42.090799: module_start - Network modules imported!, Username: Undefined
2020-10-29 20:19:58.985429: execute_function - Function run: 1 Valid? True, Username: mance
2020-10-29 20:19:58.993670: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:20:03.183871: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:20:03.535885: newfile - New File: <_io.TextIOWrapper name='./messageout.txt' mode='r+' encoding='UTF-8'> Type: Text File, Username: mance
2020-10-29 20:20:03.537159: encrypt - New Encrypted Message! Success?: Y. Files created: 1, Username: mance
2020-10-29 20:20:03.539239: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
2020-10-29 20:21:19.345589: cwdchange - New Directory: /home/firehawk/FiEncrypt OS: Linux, Username: mance
